Title,Link,Description,Remote_testing,Adaptive_Testing,Job_levels,Language,Duration
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",yes,no,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 17
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,yes,no,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",Approximate Completion Time in minutes = 7
MS Office Basic Computer Literacy (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,"Multi-choice test that measures the ability to use MS Word, MS Excel and MS PowerPoint to perform basic tasks on a computer.",yes,no,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA), Spanish, Portuguese (Brazil), French,",Approximate Completion Time in minutes = 7
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,"Multi-choice test that measures the knowledge on the concepts of need of SEO, SEO planning, SEO strategies, SEO software, tools and exchanging links.",yes,no,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 12
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.",yes,no,"Entry-Level, General Population, Graduate,","English International, German, French,",Approximate Completion Time in minutes = 20
Geoinformatics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/,"Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering.",yes,no,"Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level, Graduate,","English (USA),",Approximate Completion Time in minutes = 10
Multitasking Ability,https://www.shl.com/solutions/products/product-catalog/view/multitasking-ability/,"The Multitasking Ability assessment is a measure of ones ability to adeptly work on more than one task simultaneously, while maintaining efficiency and effectiveness when interrupted or switching between tasks.  This test is a face-valid, split-screen simulation that is designed to assess multitasking ability. It captures the dynamic nature of the working environment by presenting the candidate with multiple types of items in a timed format. Candidates will be required to complete problem-solving items that are presented on one side of the screen, while at the same time attending to emails that are presented within an email inbox on the other side of the screen.",yes,no,"Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 20
MQ Profile,https://www.shl.com/solutions/products/product-catalog/view/mq-profile/,"The profile chart is the Sten score graphical output of the MQ. It clearly shows the individuals motivational drivers compared to the selected norm group as well as highlighting any unique scores.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",yes,no,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Flemish, French (Belgium), Spanish, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Italian, Norwegian, Polish, Portuguese, Russian, Swedish, English International, English (USA), Romanian, Indonesian, Turkish, Chinese Simplified, Hungarian,",Test Type:P
Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,"The Healthcare Support Specialist solution is for entry-level positions in a healthcare environment that do not require the employee to interact with patients.  Sample tasks for this job include, but are not limited to: preparing food for patients, washing hospital linens, and cleaning the healthcare facility.  Potential job titles that use this solution are: Janitors, Food Preparation Workers, and Laundry Associates.  Multiple configurations of this solution are available.",yes,yes,"Entry-Level,","English (USA),",Approximate Completion Time in minutes = 30
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",yes,yes,"Professional Individual Contributor, Mid-Professional,","English (USA),",Approximate Completion Time in minutes = 30
